2024-09-23 11.02.53; Inicio de Ejecución BotUpdateCanal
2024-09-23 11:03:23; El iturriapp no esta pidiendo cambio de contraseña
2024-09-23 11:03:53; Fin del robot del robot WebIturri y se descargo completo el reporte
2024-09-23 11:03:53; Procesando las Dams e ingresar a la web sunat
2024-09-23 11:04:43; Dam 12230 aun no tiene CANAL
2024-09-23 11:04:54; Dam 12159 aun no tiene CANAL
2024-09-23 11:05:06; Dam 12161 aun no tiene CANAL
2024-09-23 11:07:14; Dam 12050 aun no tiene CANAL
2024-09-23 11:07:25; Dam 12053 aun no tiene CANAL
2024-09-23 11:07:37; Dam 12054 aun no tiene CANAL
2024-09-23 11:07:48; Dam 12055 aun no tiene CANAL
2024-09-23 11:09:52; Dam 11938 aun no tiene CANAL
2024-09-23 11:10:04; Dam 11934 aun no tiene CANAL
2024-09-23 11:10:15; Dam 23184 aun no tiene CANAL
2024-09-23 11:10:27; Dam 23182 aun no tiene CANAL
2024-09-23 11:10:38; Dam 2693 aun no tiene CANAL
2024-09-23 11:10:50; Dam 11891 aun no tiene CANAL
2024-09-23 11:11:01; Dam 11888 aun no tiene CANAL
2024-09-23 11:11:10; se cerro la pagina de SUNAT con éxito
2024-09-23 11:11:42; El iturriapp no esta pidiendo cambio de contraseña
